id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause
ecc401b6-e1ff-481d-8e97-baa83385c6b2,2024-01-04 22:32:38+00:00,33.779773,-84.396592,American Woodcock,Scolopax minor,amewoo,UNKNOWN,UNKNOWN,INJURED,collision with building/structure
72cbc59f-b9a1-415d-bd98-143f13c56bb1,2024-01-04 22:34:28+00:00,33.77975,-84.396624,American Woodcock,Scolopax minor,amewoo,UNKNOWN,UNKNOWN,INJURED,collision with building/structure
8b469b17-3bf5-465f-b70d-6a4a92038afb,2024-02-25 23:36:01+00:00,33.775223,-84.401602,Cedar Waxwing,Bombycilla cedrorum,cedwax,ADULT,UNKNOWN,DEAD,unknown
f2aa5720-af83-4a49-928a-2ca11e156f99,2024-03-12 19:32:31+00:00,33.779896,-84.395976,Cedar Waxwing,Bombycilla cedrorum,cedwax,ADULT,UNKNOWN,DEAD,collision with building/structure
2621452f-3e97-4f85-b5e3-c4b4f124859f,2024-04-02 17:39:32+00:00,33.774855,-84.397734,Northern Mockingbird,Mimus polyglottos,normoc,UNKNOWN,UNKNOWN,DEAD,unknown
fe10c4ad-c949-41cd-9540-f35a7a918b98,2024-04-15 16:15:52+00:00,33.772971,-84.395865,bird sp.,Aves sp.,bird1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
ef77b7e8-e040-4705-8856-009f61f19a60,2024-04-15 17:56:52+00:00,33.776573,-84.388062,Red-eyed Vireo,Vireo olivaceus,reevir1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
853ff52b-a5fd-4c55-98fa-cf2c31605026,2024-04-15 20:36:51+00:00,33.776431,-84.387566,Red-eyed Vireo,Vireo olivaceus,reevir1,ADULT,UNKNOWN,DEAD,collision with building/structure
122b780e-c763-465e-a8c1-d0811f807632,2024-04-16 00:01:16+00:00,33.776095,-84.398808,Northern Mockingbird,Mimus polyglottos,normoc,UNKNOWN,UNKNOWN,DEAD,unknown
06f81e7a-8529-4ae8-9e1c-7918ffc46ec6,2024-04-22 03:20:22+00:00,33.780045,-84.403378,Blue-winged Warbler,Vermivora cyanoptera,buwwar,ADULT,MALE,DEAD,collision with building/structure
4b129f39-e686-474d-b704-04117fe03c9e,2024-04-22 21:11:57+00:00,33.77659,-84.387596,Indigo Bunting,Passerina cyanea,indbun,ADULT,MALE,DEAD,collision with building/structure
2f2957c9-a661-45e7-88fe-1e20242d8c6f,2024-04-23 01:22:38+00:00,33.77991,-84.396504,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
7f632d9b-f478-4b45-be35-fcee56461d07,2024-04-24 22:22:11+00:00,33.779808,-84.396619,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
1d18f97f-b562-4a16-b841-41f7db169728,2024-04-29 14:57:04+00:00,33.779928,-84.396486,Summer Tanager,Piranga rubra,sumtan,JUVENILE,MALE,INJURED,unknown
be9f2f5f-dbeb-46c6-8898-2022d4196996,2024-04-29 16:05:06+00:00,33.776847,-84.396983,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,INJURED,collision with building/structure
0cd7176a-788d-4ed5-a639-240ae673cd56,2024-05-02 19:57:48+00:00,33.77982,-84.396607,Indigo Bunting,Passerina cyanea,indbun,ADULT,MALE,DEAD,collision with building/structure
d30fb439-6349-4c46-97ad-07254df20af3,2024-05-06 18:05:30+00:00,33.77744,-84.398678,Ovenbird,Seiurus aurocapilla,ovenbi1,ADULT,UNKNOWN,DEAD,collision with building/structure
1333ee45-820a-4c73-b23c-0570e8d0e8b7,2024-05-14 15:36:34+00:00,33.775947,-84.395662,American Redstart,Setophaga ruticilla,amered,UNKNOWN,FEMALE,DEAD,collision with building/structure
ba5177be-c773-479a-aacf-8a849f9fe5f9,2024-05-14 20:12:36+00:00,33.772944,-84.39612,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
40b62d7b-506b-45ff-ab71-5b977bec7abd,2024-05-18 22:56:23+00:00,33.77669,-84.396854,Northern Mockingbird,Mimus polyglottos,normoc,JUVENILE,UNKNOWN,DEAD,collision with building/structure
7da75e30-5598-4df9-905c-6026523f8bd9,2024-06-10 17:55:04+00:00,33.779308,-84.397188,Indigo Bunting,Passerina cyanea,indbun,ADULT,MALE,DEAD,collision with building/structure
977f6cef-a2af-427c-9193-a1d07534e2a6,2024-09-11 11:54:23+00:00,33.779432,-84.396461,Black-and-white Warbler,Mniotilta varia,bawwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
09d2dc99-3944-4bef-9056-36b1c1e6f917,2024-09-24 19:00:19+00:00,33.775033,-84.401601,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
b7c82771-67f6-4308-ad9e-aee06d55d2e9,2024-09-25 17:00:35+00:00,33.77884,-84.397339,American Robin,Turdus migratorius,amerob,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
a35a72f0-5cbe-4cab-b30a-f80a80bdddf0,2024-09-30 13:13:14+00:00,33.780042,-84.396858,Palm Warbler,Setophaga palmarum,palwar,ADULT,UNKNOWN,DEAD,collision with building/structure
32167b84-a007-4bd4-9108-15c94c330599,2024-10-01 17:24:04+00:00,33.780044,-84.395773,Swainson's Thrush,Catharus ustulatus,swathr,UNKNOWN,UNKNOWN,DEAD,unknown
8e574ee3-6878-425c-9923-501edb78b69c,2024-10-01 20:02:54+00:00,33.776961,-84.395969,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure
9019e144-4ff0-4b1f-b57b-68886a8de187,2024-10-02 16:26:17+00:00,33.774141,-84.396512,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,unknown
c07a6a9d-92e2-4bd5-ad80-2fe1e0905aed,2024-10-02 19:33:01+00:00,33.776358,-84.387789,Blackburnian Warbler,Setophaga fusca,bkbwar,ADULT,UNKNOWN,DEAD,collision with building/structure
e6521872-930d-4e64-8a37-2786fbbde97f,2024-10-02 19:34:15+00:00,33.776398,-84.387681,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure
754032c2-1279-497e-a124-f08ca3524e29,2024-10-02 19:35:06+00:00,33.776308,-84.387671,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure
3d468243-89e9-4221-adb3-50a2ce8d50a6,2024-10-02 19:35:59+00:00,33.776344,-84.387703,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure
8d169a1c-150c-49d4-afe7-f1c6750f945d,2024-10-02 19:36:30+00:00,33.776317,-84.387767,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure
917ccfc3-3c04-468a-b307-98c3fb9ac0be,2024-10-04 00:05:32+00:00,33.773734,-84.397934,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
c5707c55-7dab-4c7d-9614-cc196cbc44d0,2024-10-04 14:45:52+00:00,33.781164,-84.39774,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
a823f58e-c994-4e46-ac66-cccb54e81fd0,2024-10-04 21:09:21+00:00,33.7744,-84.395358,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
b99265bf-24a8-4ecb-bb5b-664580b44f43,2024-10-06 14:00:21+00:00,33.779729,-84.400417,Ovenbird,Seiurus aurocapilla,ovenbi1,ADULT,UNKNOWN,DEAD,collision with building/structure
fbc13ea3-b176-4c5a-9c9a-a22b1e4c7c13,2024-10-07 15:37:35+00:00,33.7811,-84.397702,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,DEAD,unknown
565fb7c2-842e-4d0c-9040-24011e794cf4,2024-10-07 16:30:53+00:00,33.780689,-84.399374,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
