id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause
6cec8347-b6f0-4654-aced-036d7e9fcdec,2016-03-20 17:44:00+00:00,33.780814,-84.398132,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,
1e77571d-db09-4c1e-a052-61a742733299,2016-03-31 12:30:00+00:00,33.775589,-84.402061,Yellow-bellied Sapsucker,Sphyrapicus varius,yebsap,UNKNOWN,UNKNOWN,DEAD,
98a3d481-c1bf-4504-a5fe-800664a2d489,2017-08-11 13:15:00+00:00,33.772618,-84.396546,warbler sp. (Parulidae sp.),Parulidae sp.,warble,UNKNOWN,UNKNOWN,DEAD,
71313dd1-3628-42b9-b276-132bfbbf7ea7,2017-10-01 04:00:00+00:00,33.776419,-84.398585,Ovenbird,Seiurus aurocapilla,ovenbi1,ADULT,UNKNOWN,INJURED,collision with building/structure
e673fad3-5cd0-4808-8393-51f5c18dc3e1,2017-10-01 12:45:00+00:00,33.773501,-84.396501,woodpecker sp.,Picidae sp.,woodpe1,ADULT,UNKNOWN,DEAD,
c2c91244-107c-461b-8f67-fcf0427c2ecb,,33.772854,-84.391877,Yellow-bellied Sapsucker,Sphyrapicus varius,yebsap,ADULT,MALE,DEAD,collision with building/structure
96690ab1-5ead-43db-a9c9-5eff6b595c74,,33.774252,-84.395396,Ruby-throated Hummingbird,Archilochus colubris,rthhum,ADULT,FEMALE,INJURED,collision with building/structure
181decfd-1e48-4094-825a-b97fff386408,2021-09-21 11:30:40+00:00,33.77785,-84.402125,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
e407ee04-b21f-49fe-aefc-f401d0f3d6de,2021-09-28 21:03:21+00:00,33.77847,-84.397214,Eastern Phoebe,Sayornis phoebe,easpho,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
811f5fbe-933d-4b79-ace5-458293ee81fc,2021-10-18 21:10:08+00:00,33.771884,-84.395607,passerine sp.,Passeriformes sp.,passer1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
1492cb72-09c1-4019-8d0d-8fcc10f8485f,,33.776033,-84.398841,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
654fa2b8-d4ef-421d-a417-7d529f2a19ca,,33.780315,-84.400629,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
c2550f79-c000-4ba8-a80c-6a91b87f8a5c,,33.775983,-84.397128,Northern Cardinal,Cardinalis cardinalis,norcar,ADULT,FEMALE,DEAD,collision with building/structure
9e75a3db-66dc-4676-b082-2abccce64d99,,33.776012,-84.394011,Rock Pigeon,Columba livia,rocpig,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
20411635-73fd-453c-b536-95f9ed49f973,2021-11-15 00:39:23+00:00,33.775216,-84.396275,Rock Pigeon,Columba livia,rocpig,ADULT,UNKNOWN,DEAD,vehicle collision
b17ee123-7786-485f-bcbf-75d031205036,,33.775231,-84.396338,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
c8ad7e5f-0b9b-4f9e-becc-ee4d0e1a4554,,33.774649,-84.396413,Rock Pigeon,Columba livia,rocpig,ADULT,UNKNOWN,DEAD,vehicle collision
c6ab8740-31a4-4a43-8441-7b4095934c86,,33.774649,-84.396413,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
d3fc667f-1251-4cee-b7ca-21cfe5eb630f,,33.77893,-84.396115,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
f4f46ffa-42dc-4d3b-9878-eafca942ae21,,33.778598,-84.396363,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
ca82082d-be60-499f-84ae-de5839aef8a7,2021-11-23 21:27:36+00:00,33.778746,-84.39737,American Woodcock,Scolopax minor,amewoo,ADULT,UNKNOWN,DEAD,unknown
e7f2dd46-e9ee-4565-97c3-29bf945296b6,2021-11-23 21:28:31+00:00,33.778753,-84.395905,American Woodcock,Scolopax minor,amewoo,ADULT,UNKNOWN,DEAD,unknown
88d73eb6-65d0-4bf1-9632-e6e76e7b1459,2021-11-23 22:26:47+00:00,33.778815,-84.398664,unknown,unknown,,ADULT,UNKNOWN,DEAD,unknown
7a81452d-6ef8-4a67-ad22-34a673cfb9d4,2021-11-24 16:21:29+00:00,33.77948,-84.397874,American Woodcock,Scolopax minor,amewoo,UNKNOWN,UNKNOWN,DEAD,unknown
69aa21d0-d4f8-4dad-94f6-547154af79a8,2021-12-03 14:46:11+00:00,33.779765,-84.396662,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure
e3f94ea2-07d8-4082-9080-9106552aba88,,33.780629,-84.397634,American Robin,Turdus migratorius,amerob,UNKNOWN,UNKNOWN,DEAD,entanglement
45c4f484-cf58-4873-bd57-f700653376b5,,33.780088,-84.39671,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure
0a6076cd-63cc-4385-87a9-9791dbcf23db,2021-12-03 17:33:28+00:00,33.780015,-84.396751,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure
