id,observed_at_utc,created_at_utc,updated_at_utc,latitude,longitude,location_accuracy_meters,mobile_device_gps_source,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause,notes,image
6cec8347-b6f0-4654-aced-036d7e9fcdec,2016-03-20 17:44:00+00:00,2016-03-20 10:45:14+00:00,2021-03-13 21:14:05.052971+00:00,33.780814,-84.398132,17,TRUE,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,,Very old. Mainly just skeleton with some feathers. Passerine,
1e77571d-db09-4c1e-a052-61a742733299,2016-03-31 12:30:00+00:00,2016-04-04 12:02:55+00:00,2021-03-13 21:13:43.779540+00:00,33.775589,-84.402061,,FALSE,Yellow-bellied Sapsucker,Sphyrapicus varius,yebsap,UNKNOWN,UNKNOWN,DEAD,,At least a few days old,
98a3d481-c1bf-4504-a5fe-800664a2d489,2017-08-11 13:15:00+00:00,2017-08-11 06:20:31+00:00,2021-03-13 20:36:22.769631+00:00,33.772618,-84.396546,,FALSE,warbler sp. (Parulidae sp.),Parulidae sp.,warble,UNKNOWN,UNKNOWN,DEAD,,Right in front of some large ground floor windows. Very sad to see such a beautiful bird meet that fate.,https://backend-static.dbird.org/uploads/95d4b6e5-42dc-4971-90bc-50a5dcf6a0a0.jpg
71313dd1-3628-42b9-b276-132bfbbf7ea7,2017-10-01 04:00:00+00:00,2017-10-01 15:08:04+00:00,2024-11-14 19:09:31.039528+00:00,33.776419,-84.398585,,FALSE,Ovenbird,Seiurus aurocapilla,ovenbi1,ADULT,UNKNOWN,INJURED,collision with building/structure,"Bird struck a glass door. and was laying on the ground almost motionless when I cam across it. I monitored the bird and took it inside to make sure no predator would eat it. Thankfully it seemed to recover from the shock, nothing seemed broken, and after about three hours it seemed to have recovered enough to regain the ability to fly, so I took it outside and presumably, it's better now (haven't seen it since)",https://backend-static.dbird.org/uploads/8a490661-5053-4e8d-865c-020728bf8593.jpg
e673fad3-5cd0-4808-8393-51f5c18dc3e1,2017-10-01 12:45:00+00:00,2017-10-01 17:04:45+00:00,2021-03-13 20:31:21.886768+00:00,33.773501,-84.396501,,FALSE,woodpecker sp.,Picidae sp.,woodpe1,ADULT,UNKNOWN,DEAD,,,
c2c91244-107c-461b-8f67-fcf0427c2ecb,2021-03-15 14:00:45.901000+00:00,2022-02-14 19:25:08.016133+00:00,2022-02-14 19:25:08.016158+00:00,33.772854,-84.391877,,FALSE,Yellow-bellied Sapsucker,Sphyrapicus varius,yebsap,ADULT,MALE,DEAD,collision with building/structure,It was last year before I knew this service existed. He had apparently collided with the building and fallen down by the front entrance. His beak was fractured. I moved him out of the walkway by bundling him in my jacket and placed him in the bushes nearby.,https://backend-static.dbird.org/uploads/af8be4fd-fec0-416b-b766-c5c6b2a43cad.jpg
96690ab1-5ead-43db-a9c9-5eff6b595c74,2021-08-23 14:37:20.932000+00:00,2021-10-06 14:28:43.254061+00:00,2021-10-06 14:28:43.254086+00:00,33.774252,-84.395396,,FALSE,Ruby-throated Hummingbird,Archilochus colubris,rthhum,ADULT,FEMALE,INJURED,collision with building/structure,Collided into glass and dropped onto concrete,https://backend-static.dbird.org/uploads/3de14d60-45ba-409d-8d6f-1b5fbdb3008d.jpeg
181decfd-1e48-4094-825a-b97fff386408,2021-09-21 11:30:40+00:00,2021-09-21 16:32:26.088444+00:00,2024-11-14 19:06:43.467857+00:00,33.77785,-84.402125,,FALSE,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,"Bird seems to have been there for some time. Also, was lying about 2 yards away from large windows",
e407ee04-b21f-49fe-aefc-f401d0f3d6de,2021-09-28 21:03:21+00:00,2021-09-28 21:05:48.085686+00:00,2024-11-14 19:06:33.744046+00:00,33.77847,-84.397214,,FALSE,Eastern Phoebe,Sayornis phoebe,easpho,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,It is right under one of the windows on the Whitaker Building,https://backend-static.dbird.org/uploads/4caf5f28-6e9e-41f1-b28a-bcfe2e5585e5.jpg
811f5fbe-933d-4b79-ace5-458293ee81fc,2021-10-18 21:10:08+00:00,2021-10-18 23:50:42.260986+00:00,2024-11-14 18:50:11.998662+00:00,33.771884,-84.395607,,FALSE,passerine sp.,Passeriformes sp.,passer1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,"Looks like it has been dead for a while. These are the remnants of it. There is a large window right above where the dead bird was found, so it most likely flew into the window and died due to related injuries.",https://backend-static.dbird.org/uploads/7b1ab677-ccef-4ffb-857c-b52fa48b192c.jpg
