Month,Size
2017-08-01,1
2017-10-01,2
2021-03-01,1
2021-08-01,1
2021-09-01,2
2021-10-01,3
2021-11-01,12
2021-12-01,4
2022-01-01,2
2022-03-01,2
2022-04-01,26
2022-05-01,9
2022-06-01,2
2022-07-01,5
2022-08-01,7
2022-09-01,52
2022-10-01,61
2022-11-01,12
2022-12-01,2
2023-01-01,3
2023-02-01,1
2023-03-01,6
2023-04-01,17
2023-05-01,25
2023-07-01,2
2023-08-01,5
2023-09-01,39
2023-10-01,36
2023-11-01,13
2023-12-01,4
2024-01-01,2
2024-02-01,2
2024-03-01,4
2024-04-01,20
2024-05-01,9
2024-06-01,2
2024-07-01,2
2024-08-01,2
2024-09-01,11
2024-10-01,66
2024-11-01,13
