id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause,year
a6455700-c11f-4aad-a85d-de4553fd442f,2024-10-01,33.779995,-84.396222,Swainson's Thrush,Catharus ustulatus,swathr,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
32167b84-a007-4bd4-9108-15c94c330599,2024-10-01,33.780044,-84.395773,Swainson's Thrush,Catharus ustulatus,swathr,UNKNOWN,UNKNOWN,DEAD,unknown,2024
8e574ee3-6878-425c-9923-501edb78b69c,2024-10-01,33.776961,-84.395969,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
7282d37e-cf7e-48d7-8b6c-06623d9f9ca6,2024-10-01,33.776955,-84.396425,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
9019e144-4ff0-4b1f-b57b-68886a8de187,2024-10-02,33.774141,-84.396512,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,unknown,2024
dbd4ada2-cc67-4cf4-be2a-a40818c77cfe,2024-10-02,33.775497,-84.387677,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
c07a6a9d-92e2-4bd5-ad80-2fe1e0905aed,2024-10-02,33.776358,-84.387789,Blackburnian Warbler,Setophaga fusca,bkbwar,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
e6521872-930d-4e64-8a37-2786fbbde97f,2024-10-02,33.776398,-84.387681,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
754032c2-1279-497e-a124-f08ca3524e29,2024-10-02,33.776308,-84.387671,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
3d468243-89e9-4221-adb3-50a2ce8d50a6,2024-10-02,33.776344,-84.387703,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
8d169a1c-150c-49d4-afe7-f1c6750f945d,2024-10-02,33.776317,-84.387767,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
73e361af-fd2b-4ee4-accf-bc4d405caf97,2024-10-03,33.77616,-84.388218,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,2024
4db8cf74-0b9e-4adf-9834-aac48fa36413,2024-10-03,33.774419,-84.395369,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
ee05b24e-ba24-412b-9cdd-b7b8d9153e82,2024-10-03,33.780033,-84.396704,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
00067c16-2629-4bed-af2e-60faea869122,2024-10-03,33.78005,-84.396876,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
917ccfc3-3c04-468a-b307-98c3fb9ac0be,2024-10-04,33.773734,-84.397934,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
61b30821-ef3f-4aed-b571-9682ce7e25e4,2024-10-04,33.779999,-84.396774,Brown Thrasher,Toxostoma rufum,brnthr,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
c5707c55-7dab-4c7d-9614-cc196cbc44d0,2024-10-04,33.781164,-84.39774,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
a823f58e-c994-4e46-ac66-cccb54e81fd0,2024-10-04,33.7744,-84.395358,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
0b8a67d6-e3f6-44a1-b944-8ea0ee9672df,2024-10-06,33.779942,-84.403335,Gray Catbird,Dumetella carolinensis,grycat,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
b99265bf-24a8-4ecb-bb5b-664580b44f43,2024-10-06,33.779729,-84.400417,Ovenbird,Seiurus aurocapilla,ovenbi1,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
e2420324-147d-452c-bfb9-28a18c954da9,2024-10-07,33.77398,-84.398147,Common Yellowthroat,Geothlypis trichas,comyel,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
fbc13ea3-b176-4c5a-9c9a-a22b1e4c7c13,2024-10-07,33.7811,-84.397702,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,DEAD,unknown,2024
565fb7c2-842e-4d0c-9040-24011e794cf4,2024-10-07,33.780689,-84.399374,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
f03595ae-1d7b-4dd7-88e4-6a1213463428,2024-10-07,33.779952,-84.39671,Indigo Bunting,Passerina cyanea,indbun,UNKNOWN,MALE,DEAD,collision with building/structure,2024
fd43ea10-0df2-4b54-a32d-adbf08d71173,2024-10-07,33.775495,-84.388733,unknown,unknown,,UNKNOWN,FEMALE,DEAD,collision with building/structure,2024
