id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause,year
55b5497b-6092-4b9b-8ed4-28c404b2e8be,2023-08-14,33.779923,-84.396655,Black-and-white Warbler,Mniotilta varia,bawwar,ADULT,FEMALE,DEAD,collision with building/structure,2023
d239c87a-bac4-4486-95af-3ce09165df2e,2023-08-21,33.779786,-84.396586,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,2023
600badf3-005f-4a11-9bdf-6c8fd2599d2e,2023-08-21,33.779779,-84.396452,Northern Parula,Setophaga americana,norpar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
390d2e5f-cb46-482c-b29f-672720089505,2023-08-27,33.779849,-84.396604,Ruby-throated Hummingbird,Archilochus colubris,rthhum,ADULT,UNKNOWN,DEAD,collision with building/structure,2023
e0a1d951-683e-4824-bb2a-828d59ddb397,2023-08-28,33.78,-84.396619,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
14888d84-b163-4d39-897e-5215c9341abb,2023-09-02,33.780031,-84.40349,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,FEMALE,DEAD,collision with building/structure,2023
792aa871-dd79-498d-8efe-53b0cd34516d,2023-09-02,33.780094,-84.403625,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,FEMALE,DEAD,collision with building/structure,2023
605beef2-b4e5-4303-9132-d05bd027f5ef,2023-09-04,33.779981,-84.396662,Northern Cardinal,Cardinalis cardinalis,norcar,JUVENILE,UNKNOWN,DEAD,collision with building/structure,2023
8eb08b4e-81c7-434b-84ac-a52e1eb47c74,2023-09-05,33.776919,-84.396311,Swainson's Thrush,Catharus ustulatus,swathr,UNKNOWN,UNKNOWN,DEAD,unknown,2023
2b6494c9-46d4-4bca-be12-8661884cee60,2023-09-06,33.777007,-84.396329,Catharus sp.,Catharus sp.,cathus,ADULT,UNKNOWN,DEAD,collision with building/structure,2023
67ac9c59-3190-4cf4-94b0-08b52abbf500,2023-09-07,33.779733,-84.396603,Canada Warbler,Cardellina canadensis,canwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
55b82347-2b2e-4c10-a5e9-20e27bdbec71,2023-09-07,33.776284,-84.387773,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,2023
f0eefb2c-e02b-4767-a5c2-2cf101b9cce8,2023-09-09,33.779704,-84.3967,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
d3d5d921-05ef-4450-82a0-f94be37afee4,2023-09-10,33.775468,-84.401838,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
31727188-bdd4-4dc6-b799-ee2e492841ce,2023-09-11,33.779975,-84.396645,Veery,Catharus fuscescens,veery,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
fbdc79c9-1d28-464d-8e01-420cab3b7349,2023-09-11,33.776228,-84.387987,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
ca991bf0-e0a0-43a5-a2d6-4be4ea8e7070,2023-09-12,33.77981,-84.396768,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,UNKNOWN,DEAD,unknown,2023
5806ba3a-5dfa-479f-9044-db8d15efe13d,2023-09-13,33.775446,-84.396125,Mourning Dove,Zenaida macroura,moudov,UNKNOWN,UNKNOWN,INJURED,collision with building/structure,2023
c759d51e-7bb4-41a7-bfca-4af804f4dc98,2023-09-13,33.774315,-84.39656,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
7d94f1e3-5513-4241-8b4c-3d4abd8fac45,2023-09-13,33.7791,-84.396077,Song Sparrow,Melospiza melodia,sonspa,UNKNOWN,FEMALE,DEAD,collision with building/structure,2023
8c2d734b-4dff-4a63-a8bf-a1f314d88711,2023-09-14,33.77974,-84.396662,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
520ea436-6533-44cd-b26b-430a9a7bdaaa,2023-09-14,33.78001,-84.396676,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
73ef36e1-0fa3-41ff-8044-b21ada862eff,2023-09-14,33.776763,-84.387859,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
d23835c4-2608-4d10-a64c-c7072bdac837,2023-09-14,33.776812,-84.387832,Yellow-breasted Chat,Icteria virens,yebcha,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2023
